VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
1,0,161,May,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,71,Male
1,1,99,May,Thursday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,50,30,Male
1,0,107,May,Wednesday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,53,Female
1,1,161,May,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,70,,Unknown
1,0,81,May,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,28,Male
1,1,163,May,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
1,1,69,May,Friday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,79,Female
1,1,163,May,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,20,Male
2,0,159,May,Wednesday,County Road,Sideswipe,Yes,Not Daylight,No/unknown,55,21,Male
1,1,163,May,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,,,Unknown
2,0,163,May,Saturday,Local Street,Angle,Yes,Not Daylight,No/unknown,35,36,Male
1,1,163,May,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,23,Male
1,1,163,May,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,28,Male
1,0,143,May,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,55,22,Male
2,0,59,May,Friday,County Road,Angle,No,Daylight,No/unknown,,81,Female
1,0,93,May,Saturday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,68,Male
1,0,163,May,Monday,Local Street,Not Col. Moving,Yes,Daylight,Yes,25,41,Male
1,1,163,May,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,0,75,May,Friday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,55,36,Male
1,0,37,April,Monday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,55,Male
1,1,163,May,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,45,,Unknown
2,0,151,May,Monday,County Road,Front-to-Front,Yes,Daylight,No/unknown,55,33,Male
1,0,59,May,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,21,Male
1,0,161,April,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,45,56,Female
1,0,149,May,Monday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,56,Male
1,1,143,May,Sunday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,45,37,Female
2,0,115,May,Saturday,County Road,Front-to-Front,Yes,Daylight,No/unknown,45,21,Male
2,0,147,June,Sunday,State Highway,Angle,No,Daylight,No/unknown,,64,Female
2,0,133,May,Friday,U.S. Highway,Angle,No,Daylight,No/unknown,55,79,Male
1,1,147,June,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,37,Male
1,0,23,June,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,83,Male
1,0,81,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,40,Male
2,0,125,June,Tuesday,Local Street,Angle,No,Daylight,No/unknown,40,44,Female
2,0,99,May,Saturday,State Highway,Angle,No,Daylight,Yes,,33,Male
1,1,75,June,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,50,18,Male
1,0,157,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,50,Male
1,0,17,June,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,17,Male
2,0,25,June,Tuesday,County Road,Not Col. Moving,No,Daylight,Yes,,21,Male
2,0,45,June,Saturday,County Road,Angle,No,Daylight,No/unknown,55,33,Male
2,0,53,June,Tuesday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,55,38,Male
2,0,139,June,Wednesday,County Road,Front-to-Front,No,Not Daylight,No/unknown,55,17,Male
1,0,39,June,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,57,Female
2,0,93,June,Friday,County Road,Angle,No,Daylight,No/unknown,55,18,Male
1,0,163,June,Monday,Local Street,Not Col. Moving,No,Daylight,Yes,25,42,Female
1,0,81,June,Saturday,Local Street,Not Col. Moving,No,Not Daylight,Yes,25,79,Female
2,0,161,June,Saturday,State Highway,Angle,No,Daylight,No/unknown,45,70,Male
2,0,163,June,Sunday,County Road,Front-to-Front,No,Not Daylight,No/unknown,45,30,Male
2,0,75,June,Saturday,State Highway,Angle,No,Not Daylight,No/unknown,,40,Male
1,0,163,June,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,25,22,Male
3,0,75,June,Monday,County Road,Front-to-Rear,No,Daylight,No/unknown,,21,Male
1,0,29,June,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,53,Male
